,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
479,EvanFournier,5,17.8,0.401,9.2,11.0,0.0,2.5,0.0,7.5,5.71,0.0,0.0
480,LindellWigginton,3,2.7,0.51,0.0,14.5,0.0,0.0,0.0,0.0,5.61,-0.6,-0.0
481,YutaWatanabe,30,13.6,0.497,7.7,11.8,0.0,3.3,0.0,6.6,5.59,0.0,0.0
482,WesleyMatthews,21,11.0,0.451,17.7,8.2,0.0,0.0,0.0,0.0,5.47,0.0,0.0
483,JalenSlawson,5,3.8,0.667,28.6,28.6,0.0,0.0,0.0,0.0,5.46,-1.5,-0.1
484,KobeBrown,32,8.7,0.469,19.6,8.1,0.0,0.0,0.0,0.0,5.45,-22.3,-0.7
485,P.J.Tucker,15,15.9,0.492,24.8,12.4,0.0,7.7,0.0,10.1,5.44,0.0,0.0
486,SidyCissoko,5,6.4,0.387,0.0,11.4,0.0,0.0,0.0,0.0,5.44,-2.6,-0.1
487,IsaiahLivers,23,20.4,0.46,15.2,9.7,0.0,0.0,0.0,0.0,5.08,0.0,0.0
488,DaQuanJeffries,10,3.0,0.427,12.6,6.3,0.0,0.0,0.0,0.0,5.05,0.0,0.0
489,FilipPetrusev,3,3.0,0.521,0.0,0.0,0.0,0.0,0.0,5.6,5.03,0.0,0.0
490,NathanMensah,25,12.3,0.496,16.0,24.9,0.0,0.0,0.0,0.0,5.02,-25.6,-0.9
491,JakeLaRavia,11,11.1,0.447,11.0,7.3,0.0,0.0,0.0,0.0,4.86,-10.8,-0.4
492,DariqWhitehead,2,12.0,0.255,33.8,0.0,0.0,0.0,0.0,0.0,4.82,-2.1,-0.1
493,ThanasisAntetokounmpo,23,4.6,0.524,27.9,23.3,0.0,0.0,0.0,0.0,4.7,0.0,0.0
494,JustinMinaya,16,8.8,0.365,16.8,14.0,0.0,0.0,0.0,0.0,4.69,-12.8,-0.4
495,JoeHarris,16,10.6,0.489,18.6,7.4,0.0,0.0,0.0,0.0,4.58,0.0,0.0
496,UsmanGaruba,2,3.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,4.41,0.0,0.0
497,JalenMcDaniels,33,8.9,0.417,11.4,12.1,0.0,0.0,0.0,0.0,4.39,0.0,0.0
498,E.J.Liddell,8,2.9,0.291,10.1,20.2,0.0,0.0,0.0,0.0,4.24,-2.3,-0.1
499,JordanWalsh,4,8.3,0.2,22.2,22.2,0.0,0.0,0.0,0.0,3.9,-3.4,-0.1
500,JulianPhillips,30,6.6,0.472,12.3,10.8,0.0,0.0,0.0,0.0,3.85,-20.5,-0.7
501,EmoniBates,10,7.6,0.348,18.2,3.0,0.0,0.0,0.0,0.0,3.67,-8.1,-0.3
502,JulesBernard,6,4.7,0.292,26.3,10.5,0.0,0.0,0.0,0.0,3.61,-3.0,-0.1
503,TheoMaledon,15,14.1,0.39,23.0,14.8,0.0,2.0,0.0,6.4,3.38,0.0,0.0
504,TajGibson,16,10.3,0.335,23.8,13.2,0.0,0.0,0.0,0.0,3.15,-18.8,-0.6
505,MarquesBolden,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08,-0.3,-0.0
506,AshtonHagans,3,18.0,0.379,32.0,13.7,0.0,0.0,0.0,0.0,2.57,-6.6,-0.2
507,JuanToscano-Anderson,11,4.8,0.292,22.2,11.1,0.0,0.0,0.0,0.0,2.48,0.0,0.0
508,AleksejPokusevski,10,6.0,0.338,19.4,11.6,0.0,0.0,0.0,0.0,2.46,0.0,0.0
509,AdmiralSchofield,13,3.8,0.444,19.3,15.5,0.0,0.0,0.0,0.0,2.42,0.0,0.0
510,AmariBailey,3,5.0,0.317,10.1,10.1,0.0,0.0,0.0,0.0,2.13,-1.9,-0.1
511,AJGriffin,18,7.3,0.403,7.2,10.7,0.0,0.0,0.0,0.0,1.84,-17.6,-0.6
512,MicahPotter,2,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53,-1.0,-0.0
513,R.J.Hampton,8,9.5,0.336,30.9,11.6,0.0,0.0,0.0,0.0,0.85,0.0,0.0
514,DannyGreen,2,9.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0
515,KeyontaeJohnson,7,8.1,0.375,20.0,20.0,0.0,0.0,0.0,0.0,0.7,-8.6,-0.3
516,SethLundy,9,5.8,0.373,0.0,5.1,0.0,0.0,0.0,0.0,0.09,-8.3,-0.3
517,FrankNtilikina,5,8.6,0.253,26.9,6.7,0.0,0.0,0.0,0.0,0.03,0.0,0.0
518,JavonteSmart,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,-0.0
519,OnuralpBitim,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.0
520,VitKrejci,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
521,MalcolmCazalon,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.0
522,RonHarperJr.,1,4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,-0.03,-0.6,-0.0
523,JalenHood-Schifino,17,5.6,0.322,13.1,13.1,0.0,0.0,0.0,0.0,-0.47,-16.1,-0.5
524,MouhamedGueye,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.63,-0.7,-0.0
525,MaxwellLewis,19,3.6,0.292,15.0,25.0,0.0,0.0,0.0,0.0,-1.76,-12.9,-0.4
526,RyanArcidiacono,20,2.3,0.0,33.3,16.7,0.0,0.0,0.0,0.0,-1.91,0.0,0.0
527,AlexFudge,4,3.5,0.291,0.0,12.7,0.0,0.0,0.0,0.0,-1.95,-2.7,-0.1
528,CharlieBrownJr.,6,5.5,0.333,0.0,18.2,0.0,0.0,0.0,0.0,-2.36,0.0,0.0
529,JeromeRobinson,9,3.3,0.172,14.7,0.0,0.0,0.0,0.0,0.0,-2.52,0.0,0.0
530,TyTyWashingtonJr.,5,4.2,0.214,10.0,20.0,0.0,0.0,0.0,0.0,-3.13,-4.4,-0.1
531,JamareeBouyea,6,9.5,0.238,21.6,21.6,0.0,0.0,0.0,0.0,-4.75,-13.2,-0.4
532,HunterTyson,9,3.0,0.143,10.0,20.0,0.0,0.0,0.0,0.0,-9.02,-8.0,-0.3
533,JasonPreston,1,1.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,-11.85,0.0,0.0
534,AlondesWilliams,1,6.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,-12.68,-2.1,-0.1
535,JohnnyJuzang,2,3.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,-13.59,-2.2,-0.1
536,JoshuaPrimo,1,5.0,0.5,0.0,60.0,0.0,0.0,0.0,0.0,-15.51,0.0,0.0
537,PeteNance,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.79,-1.8,-0.1
538,DmytroSkapintsev,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.04,-0.9,-0.0
539,KaiserGates,1,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.64,-3.2,-0.1
