,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
101,KellyOlynyk,53,20.2,0.671,35.5,13.3,0.0,6.9,0.0,13.7,17.38,0.0,0.0
102,IsaiahHartenstein,50,25.6,0.65,23.2,13.6,0.0,0.0,0.0,0.0,17.35,125.1,4.2
103,DereckLivelyII,37,25.7,0.724,14.8,13.0,0.0,0.0,0.0,0.0,17.32,95.5,3.2
104,NikolaVucevic,50,34.4,0.528,16.0,6.8,0.0,0.0,0.0,0.0,17.32,172.6,5.8
105,TrendonWatford,38,12.1,0.62,20.8,9.8,0.0,0.0,0.0,0.0,17.31,0.0,0.0
106,GuiSantos,12,9.1,0.622,14.4,6.2,0.0,0.0,0.0,0.0,17.25,0.0,0.0
107,JordanMiller,5,4.2,0.799,0.0,12.7,0.0,0.0,0.0,0.0,17.19,2.0,0.1
108,TariEason,22,21.8,0.528,10.8,8.0,0.0,0.0,0.0,0.0,17.16,45.6,1.5
109,RobertWilliamsIII,6,19.8,0.684,11.9,16.7,0.0,0.0,0.0,0.0,17.15,11.6,0.4
110,AnferneeSimons,30,33.5,0.577,18.8,9.0,0.0,0.0,0.0,0.0,17.15,0.0,0.0
111,MasonPlumlee,23,17.6,0.679,18.7,10.3,0.0,0.0,0.0,0.0,17.0,38.7,1.3
112,JarenJacksonJr.,51,31.8,0.562,8.8,9.8,0.0,0.0,0.0,0.0,16.99,0.0,0.0
113,DonteDiVincenzo,54,25.0,0.613,16.7,7.9,0.0,0.0,0.0,0.0,16.98,0.0,0.0
114,PaulReed,54,17.7,0.582,16.1,9.1,0.0,0.0,0.0,0.0,16.97,0.0,0.0
115,SabenLee,13,7.7,0.537,21.6,10.8,0.0,0.0,0.0,0.0,16.97,0.0,0.0
116,MoBamba,32,10.6,0.571,12.1,14.7,0.0,0.0,0.0,0.0,16.96,32.1,1.1
117,MalcolmBrogdon,39,28.7,0.56,26.1,7.3,0.0,0.0,0.0,0.0,16.96,0.0,0.0
118,TobiasHarris,48,34.0,0.598,17.1,7.4,0.0,0.0,0.0,0.0,16.95,0.0,0.0
119,TyusJones,54,29.0,0.585,36.8,5.1,0.0,0.0,0.0,0.0,16.9,0.0,0.0
120,DeandreAyton,36,32.0,0.581,10.5,11.2,0.0,0.0,0.0,0.0,16.89,108.2,3.6
121,LonnieWalkerIV,34,18.1,0.608,12.9,8.5,0.0,0.0,0.0,0.0,16.89,0.0,0.0
122,RussellWestbrook,53,23.2,0.522,26.2,12.0,0.0,0.0,0.0,0.0,16.8,0.0,0.0
123,KhrisMiddleton,43,26.3,0.59,25.6,10.5,0.0,0.0,0.0,0.0,16.78,0.0,0.0
