RK,PLAYER,GP,MPG,TS%,AST,TO,USG,ORR,DRR,REBR,PER,VA,EWA
137,AaronGordon,49,31.7,.596,19.1,8.7,0.0,0.0,0.0,0.0,16.31,0.0,0.0
138,MilesBridges,43,37.0,.565,13.9,8.0,0.0,0.0,0.0,0.0,16.18,0.0,0.0
139,ScottyPippenJr.,8,22.6,.615,30.2,12.6,0.0,0.0,0.0,0.0,16.17,14.5,0.5
140,DeAndreJordan,29,11.3,.605,14.6,13.9,0.0,0.0,0.0,0.0,16.12,26.9,0.9
141,ThaddeusYoung,23,15.2,.618,32.6,7.2,0.0,0.0,0.0,0.0,16.09,0.0,0.0
,MitchellRobinson,21,29.2,.567,10.0,13.9,0.0,0.0,0.0,0.0,16.09,50.2,1.7
143,FredVanVleet,47,36.7,.557,33.3,6.5,0.0,0.0,0.0,0.0,16.07,0.0,0.0
,JohnCollins,51,27.8,.603,7.9,9.7,0.0,0.0,0.0,0.0,16.07,0.0,0.0
145,MikalBridges,54,35.2,.573,14.8,9.0,0.0,0.0,0.0,0.0,16.03,0.0,0.0
146,NoahClowney,7,9.9,.703,20.2,10.1,0.0,0.0,0.0,0.0,16.00,5.4,0.2
147,MalikMonk,53,25.8,.581,25.8,10.7,0.0,0.0,0.0,0.0,15.99,0.0,0.0
148,IsaiahMobley,3,4.7,.625,44.4,11.1,0.0,0.0,0.0,0.0,15.98,1.1,0.0
149,CraigPorter,32,14.7,.559,29.4,10.7,0.0,0.0,0.0,0.0,15.95,36.1,1.2
150,AustinReaves,56,31.1,.619,26.8,10.3,0.0,0.0,0.0,0.0,15.92,0.0,0.0
151,JeramiGrant,46,34.0,.578,11.5,8.8,0.0,0.0,0.0,0.0,15.91,0.0,0.0
,DevinVassell,50,31.7,.579,17.2,6.4,0.0,0.0,0.0,0.0,15.91,0.0,0.0
153,JalenJohnson,41,34.0,.598,18.2,9.7,0.0,0.0,0.0,0.0,15.88,0.0,0.0
154,JamesBouknight,14,5.8,.597,12.0,4.0,0.0,0.0,0.0,0.0,15.81,0.0,0.0
,BobbyPortis,55,24.0,.572,8.3,7.2,0.0,0.0,0.0,0.0,15.81,98.5,3.3
156,AlexLen,22,8.3,.622,28.0,17.8,0.0,0.0,0.0,0.0,15.80,14.2,0.5
157,ShaquilleHarrison,3,2.0,.500,0.0,0.0,0.0,0.0,0.0,0.0,15.77,0.0,0.0
158,ChrisBoucher,46,13.9,.607,6.8,7.8,0.0,0.0,0.0,0.0,15.74,0.0,0.0
159,RJBarrett,45,31.2,.568,13.3,8.8,0.0,3.3,0.0,9.5,15.71,0.0,0.0
160,ImmanuelQuickley,50,27.2,.571,20.6,6.1,0.0,1.0,0.0,6.4,15.70,0.0,0.0
161,TreMann,16,13.1,.586,31.2,11.9,0.0,3.8,0.0,12.0,15.68,0.0,0.0
,NazReid,54,22.5,.606,8.5,9.9,0.0,0.0,0.0,0.0,15.68,92.1,3.1
163,AmenThompson,35,19.2,.552,22.7,14.0,0.0,0.0,0.0,0.0,15.66,48.8,1.6
164,GGJackson,22,19.0,.567,7.5,7.5,0.0,0.0,0.0,0.0,15.64,30.1,1.0
165,KevonLooney,52,18.2,.636,31.2,11.0,0.0,0.0,0.0,0.0,15.58,67.5,2.2
166,KyleKuzma,52,31.7,.543,15.4,9.8,0.0,0.0,0.0,0.0,15.52,0.0,0.0
167,CadeCunningham,44,34.0,.539,23.8,11.4,0.0,0.0,0.0,0.0,15.49,0.0,0.0
168,CobyWhite,55,36.3,.591,21.9,9.2,0.0,0.0,0.0,0.0,15.48,0.0,0.0
169,BrunoFernando,18,8.9,.561,8.8,10.1,0.0,0.0,0.0,0.0,15.43,0.0,0.0
170,JamesWiseman,35,14.1,.673,10.6,14.4,0.0,0.0,0.0,0.0,15.42,35.6,1.2
,DariusGarland,29,31.8,.575,23.7,13.0,0.0,0.0,0.0,0.0,15.42,0.0,0.0
,LarryNanceJr.,37,18.6,.661,24.3,11.7,0.0,0.0,0.0,0.0,15.42,0.0,0.0
173,KeonJohnson,3,15.7,.615,11.8,11.8,0.0,0.0,0.0,0.0,15.40,0.0,0.0
174,MikeConley,49,29.1,.616,40.3,6.7,0.0,0.0,0.0,0.0,15.38,0.0,0.0
175,ObiToppin,56,22.5,.668,14.9,8.2,0.0,0.0,0.0,0.0,15.37,0.0,0.0
176,TylerHerro,35,33.7,.549,17.2,8.4,0.0,0.0,0.0,0.0,15.35,0.0,0.0
177,SamMerrill,37,15.6,.638,18.7,3.7,0.0,0.0,0.0,0.0,15.32,0.0,0.0
178,JermaineSamuelsJr.,11,4.8,.758,14.4,0.0,0.0,0.0,0.0,0.0,15.30,3.6,0.1
179,DeniAvdija,54,28.2,.613,22.3,11.8,0.0,0.0,0.0,0.0,15.27,0.0,0.0
180,CamThomas,45,29.7,.546,10.9,7.6,0.0,0.0,0.0,0.0,15.25,0.0,0.0
181,ZachLaVine,25,34.9,.578,17.2,9.1,0.0,0.0,0.0,0.0,15.19,0.0,0.0
182,ThomasBryant,25,10.4,.611,12.9,12.9,0.0,0.0,0.0,0.0,15.18,17.7,0.6
,DaniloGallinari,32,14.8,.619,17.6,5.3,0.0,3.1,0.0,10.2,15.18,0.0,0.0
184,JDDavison,2,3.0,.532,0.0,0.0,0.0,0.0,0.0,0.0,15.17,0.0,0.0
185,JalenWilson,16,14.6,.644,21.7,4.3,0.0,0.0,0.0,0.0,15.16,15.2,0.5
186,BogdanBogdanovic,53,28.9,.571,14.8,6.3,0.0,0.0,0.0,0.0,15.14,0.0,0.0
187,DavisBertans,18,7.1,.620,18.5,1.7,0.0,1.8,0.0,5.7,15.13,0.0,0.0
188,WendellCarterJr.,29,26.2,.637,13.5,10.0,0.0,0.0,0.0,0.0,15.08,50.8,1.7
,JacobToppin,5,6.6,.658,15.5,7.8,0.0,0.0,0.0,0.0,15.08,2.1,0.1
190,JoshGiddey,53,24.9,.520,25.8,11.2,0.0,0.0,0.0,0.0,15.04,0.0,0.0
191,BrookLopez,52,31.5,.600,12.2,7.0,0.0,0.0,0.0,0.0,15.03,108.2,3.6
192,AaronWiggins,51,14.4,.692,15.9,9.2,0.0,0.0,0.0,0.0,14.99,0.0,0.0
193,DwightPowell,47,15.4,.741,31.4,12.0,0.0,0.0,0.0,0.0,14.96,45.1,1.5
,OrlandoRobinson,24,10.0,.613,23.8,12.3,0.0,0.0,0.0,0.0,14.96,15.5,0.5
195,LamarStevens,21,8.0,.546,9.9,12.2,0.0,9.1,0.0,14.6,14.94,0.0,0.0
196,DrewEubanks,49,16.0,.663,15.2,15.6,0.0,0.0,0.0,0.0,14.85,0.0,0.0
197,BradleyBeal,30,32.6,.579,19.9,10.7,0.0,0.0,0.0,0.0,14.84,0.0,0.0
198,OlivierSarr,12,7.4,.653,7.0,10.4,0.0,0.0,0.0,0.0,14.79,5.6,0.2
199,TreyMurphyIII,30,25.8,.593,12.7,3.9,0.0,0.0,0.0,0.0,14.77,0.0,0.0
200,DominickBarlow,23,13.3,.531,20.0,3.8,0.0,0.0,0.0,0.0,14.75,0.0,0.0
201,PreciousAchiuwa,48,21.3,.537,14.0,10.7,0.0,13.3,0.0,16.5,14.71,0.0,0.0
202,CarisLeVert,43,27.5,.526,22.5,7.6,0.0,0.0,0.0,0.0,14.70,0.0,0.0
203,CameronJohnson,41,28.2,.581,17.0,6.3,0.0,0.0,0.0,0.0,14.60,0.0,0.0
204,AlexCaruso,47,27.1,.628,23.6,11.5,0.0,0.0,0.0,0.0,14.59,0.0,0.0
205,MichaelPorterJr.,54,31.6,.587,9.0,6.8,0.0,0.0,0.0,0.0,14.55,0.0,0.0
206,DraymondGreen,28,26.9,.601,37.7,15.3,0.0,0.0,0.0,0.0,14.52,0.0,0.0
207,TreJones,50,26.0,.576,37.1,9.0,0.0,0.0,0.0,0.0,14.49,0.0,0.0
208,MosesMoody,39,17.3,.582,9.6,8.1,0.0,0.0,0.0,0.0,14.48,0.0,0.0
209,DanielTheis,40,16.8,.599,14.6,9.8,0.0,10.2,0.0,12.1,14.42,38.3,1.3
210,TristanThompson,36,12.4,.605,22.9,13.2,0.0,0.0,0.0,0.0,14.40,25.3,0.8
211,ChrisPaul,32,27.6,.543,43.3,7.2,0.0,0.0,0.0,0.0,14.39,0.0,0.0
212,TazeMoore,3,3.3,.600,14.3,14.3,0.0,0.0,0.0,0.0,14.36,0.5,0.0
213,AlecBurks,46,21.1,.573,11.6,6.0,0.0,2.0,0.0,6.7,14.33,0.0,0.0
214,ColeAnthony,54,23.0,.549,19.5,11.3,0.0,0.0,0.0,0.0,14.32,0.0,0.0
215,JrueHoliday,50,33.3,.591,26.9,10.5,0.0,0.0,0.0,0.0,14.28,0.0,0.0
216,JontayPorter,17,13.0,.498,26.0,8.7,0.0,0.0,0.0,0.0,14.27,0.0,0.0
217,KeldonJohnson,51,29.9,.551,15.8,8.1,0.0,0.0,0.0,0.0,14.22,0.0,0.0
218,AlHorford,45,27.2,.628,28.8,7.4,0.0,0.0,0.0,0.0,14.19,65.6,2.2
219,RichaunHolmes,25,10.4,.583,15.2,11.4,0.0,14.1,0.0,16.9,14.18,13.1,0.4
,RuiHachimura,42,24.2,.608,9.4,6.1,0.0,0.0,0.0,0.0,14.18,0.0,0.0
221,GordonHayward,25,31.9,.544,23.2,10.2,0.0,0.0,0.0,0.0,14.08,0.0,0.0
222,KendallBrown,5,4.0,.579,18.8,0.0,0.0,0.0,0.0,0.0,14.06,0.0,0.0
